"Time"," I38 RELAY "," I38 MAIN "," I38 SW_PRE "," I38 B_1 "," I38 B_2 "," I38 ALARMA "," I39 RELAY "," I39 MAIN "," I39 SW_PRE "," I39 B_1 "," I39 B_2 "," I39 ALARMA "," I40 RELAY "," I40 MAIN "," I40 SW_PRE "," I40 B_1 "," I40 B_2 "," I40 ALARMA "," I41 RELAY "," I41 MAIN "," I41 SW_PRE "," I41 B_1 "," I41 B_2 "," I41 ALARMA "," I42 RELAY "," I42 MAIN "," I42 SW_PRE "," I42 B_1 "," I42 B_2 "," I42 ALARMA "," I43 RELAY "," I43 MAIN "," I43 SW_PRE "," I43 B_1 "," I43 B_2 "," I43 ALARMA "," I44 RELAY "," I44 MAIN "," I44 SW_PRE "," I44 B_1 "," I44 B_2 "," I44 ALARMA "," I47 RELAY "," I47 MAIN "," I47 SW_PRE "," I47 B_1 "," I47 B_2 "," I47 ALARMA "," I48 RELAY "," I48 MAIN "," I48 SW_PRE "," I48 B_1 "," I48 B_2 "," I48 ALARMA "
2026-07-14 19:00:00,,,,,,,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-14 22:00:00,OFF,OFF,OFF,ON,OFF,OFF,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NG,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-15 01:00:00,ON,ON,OFF,OFF,ON,OFF,,,,,,,ON,ON,ON,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-15 04:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-15 07:00:00,ON,ON,OFF,OFF,ON,NG,,,,,,,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-15 10:00:00,ON,ON,ON,OFF,ON,OFF,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-15 13:00:00,ON,ON,ON,OFF,ON,NG,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-15 16:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-15 19:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-15 22:00:00,ON,ON,ON,OFF,ON,NG,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-16 01:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-16 04:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-16 07:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-16 10:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-16 13:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NG,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-16 16:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-16 19:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-16 22:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-17 01:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NG
2026-07-17 04:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-17 07:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-17 10:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-17 13:00:00,ON,ON,ON,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-17 16:00:00,ON,ON,OFF,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-17 19:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-17 22:00:00,ON,ON,OFF,OFF,ON,NG,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-18 01:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-18 04:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-18 07:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-18 10:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-18 13:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,OFF,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-18 16:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-18 19:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-18 22:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NG
2026-07-19 01:00:00,ON,ON,ON,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-19 04:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,OFF,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-19 07:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,OFF,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NG
2026-07-19 10:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,ON,ON,OFF,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,OFF,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-19 13:00:00,ON,ON,OFF,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-19 16:00:00,ON,ON,ON,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-19 19:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,OFF,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,OFF,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-19 22:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,OFF,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-20 01:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-20 04:00:00,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-20 07:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-20 10:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-20 13:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-20 16:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NG
2026-07-20 19:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-20 22:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-21 01:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-21 04:00:00,ON,ON,ON,OFF,ON,NG,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-21 07:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-21 10:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-21 13:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,OFF
2026-07-21 16:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,,,,,,
2026-07-21 19:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NG,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,OFF
2026-07-21 22:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,
2026-07-22 01:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,,,,,,
2026-07-22 04:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,
2026-07-22 07:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,
2026-07-22 10:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,
2026-07-22 13:00:00,ON,ON,OFF,OFF,ON,NG,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,,,,,,,,,,,,
2026-07-22 16:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,OFF
2026-07-22 19:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NG
2026-07-22 22:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-23 01:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-23 04:00:00,ON,ON,ON,OFF,ON,NG,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,,,,,,,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-23 07:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-07-23 10:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-23 13:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,OFF,,,,,,,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-23 16:00:00,ON,ON,ON,OFF,ON,NG,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-23 19:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,,,,,,,,ON,ON,OFF,OFF,ON,NG
2026-07-23 22:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,,,,,,,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-07-24 01:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,,,,,,,,ON,ON,ON,OFF,ON,NORMAL
